Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_vnn', k=20, lr=0.001, model='eqcnn', model_path=None, momentum=0.9, no_cuda=False, num_points=1024, pooling='mean', rot='z', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 109, loss: 1.734124, train acc: 0.838864, train avg acc: 0.772608
Test 109, loss: 1.655270, test acc: 0.850486, test avg acc: 0.796959
Train 110, loss: 1.727166, train acc: 0.839678, train avg acc: 0.772401
Test 110, loss: 1.639709, test acc: 0.854538, test avg acc: 0.811948
Train 111, loss: 1.736925, train acc: 0.834283, train avg acc: 0.770333
Test 111, loss: 1.647010, test acc: 0.856159, test avg acc: 0.807477
Train 112, loss: 1.730188, train acc: 0.837846, train avg acc: 0.773655
Test 112, loss: 1.668492, test acc: 0.842788, test avg acc: 0.799349
Train 113, loss: 1.733299, train acc: 0.837337, train avg acc: 0.774030
Test 113, loss: 1.630694, test acc: 0.863452, test avg acc: 0.820977
Train 114, loss: 1.720290, train acc: 0.843037, train avg acc: 0.780154
Test 114, loss: 1.626947, test acc: 0.867099, test avg acc: 0.818727
Train 115, loss: 1.714339, train acc: 0.845888, train avg acc: 0.782308
Test 115, loss: 1.628525, test acc: 0.865478, test avg acc: 0.813302
Train 116, loss: 1.720482, train acc: 0.844259, train avg acc: 0.783453
Test 116, loss: 1.641001, test acc: 0.854133, test avg acc: 0.809936
Train 117, loss: 1.713675, train acc: 0.846397, train avg acc: 0.783045
Test 117, loss: 1.653156, test acc: 0.857780, test avg acc: 0.797552
Train 118, loss: 1.710667, train acc: 0.849247, train avg acc: 0.787457
Test 118, loss: 1.634056, test acc: 0.857780, test avg acc: 0.807384
Train 119, loss: 1.717234, train acc: 0.842834, train avg acc: 0.779415
Test 119, loss: 1.670144, test acc: 0.840357, test avg acc: 0.793227
Train 120, loss: 1.715017, train acc: 0.848229, train avg acc: 0.787819
Test 120, loss: 1.643143, test acc: 0.849271, test avg acc: 0.804198
Train 121, loss: 1.707299, train acc: 0.847923, train avg acc: 0.784990
Test 121, loss: 1.636385, test acc: 0.866694, test avg acc: 0.824174
Train 122, loss: 1.701392, train acc: 0.853318, train avg acc: 0.794297
Test 122, loss: 1.630293, test acc: 0.864668, test avg acc: 0.804616
Train 123, loss: 1.707228, train acc: 0.848534, train avg acc: 0.784576
Test 123, loss: 1.641365, test acc: 0.861831, test avg acc: 0.807616
Train 124, loss: 1.701097, train acc: 0.852097, train avg acc: 0.790608
Test 124, loss: 1.630979, test acc: 0.860616, test avg acc: 0.818134
Train 125, loss: 1.708338, train acc: 0.849349, train avg acc: 0.787071
Test 125, loss: 1.596791, test acc: 0.882496, test avg acc: 0.835035
Train 126, loss: 1.697565, train acc: 0.852606, train avg acc: 0.794253
Test 126, loss: 1.597959, test acc: 0.873987, test avg acc: 0.820808
Train 127, loss: 1.692303, train acc: 0.853827, train avg acc: 0.790791
Test 127, loss: 1.623458, test acc: 0.871151, test avg acc: 0.825372
Train 128, loss: 1.692932, train acc: 0.854031, train avg acc: 0.796943
Test 128, loss: 1.630589, test acc: 0.868314, test avg acc: 0.816785
Train 129, loss: 1.680203, train acc: 0.861564, train avg acc: 0.805673
Test 129, loss: 1.611118, test acc: 0.864668, test avg acc: 0.811209
Train 130, loss: 1.678715, train acc: 0.863701, train avg acc: 0.804248
Test 130, loss: 1.610597, test acc: 0.869125, test avg acc: 0.828453
Train 131, loss: 1.676826, train acc: 0.863803, train avg acc: 0.808971
Test 131, loss: 1.610261, test acc: 0.867909, test avg acc: 0.835669
Train 132, loss: 1.682405, train acc: 0.859222, train avg acc: 0.801352
Test 132, loss: 1.635418, test acc: 0.854943, test avg acc: 0.806971
Train 133, loss: 1.676020, train acc: 0.861869, train avg acc: 0.806729
Test 133, loss: 1.608150, test acc: 0.869935, test avg acc: 0.822808
Train 134, loss: 1.669102, train acc: 0.865228, train avg acc: 0.807278
Test 134, loss: 1.605472, test acc: 0.868314, test avg acc: 0.816872
Train 135, loss: 1.675283, train acc: 0.860342, train avg acc: 0.801743
Test 135, loss: 1.623783, test acc: 0.864263, test avg acc: 0.826291
Train 136, loss: 1.665512, train acc: 0.869198, train avg acc: 0.813655
Test 136, loss: 1.620446, test acc: 0.867909, test avg acc: 0.834552
Train 137, loss: 1.667308, train acc: 0.862581, train avg acc: 0.806351
Test 137, loss: 1.606188, test acc: 0.871556, test avg acc: 0.838669
Train 138, loss: 1.670244, train acc: 0.864414, train avg acc: 0.809758
Test 138, loss: 1.629483, test acc: 0.863452, test avg acc: 0.813895
Train 139, loss: 1.660308, train acc: 0.866450, train avg acc: 0.811767
Test 139, loss: 1.593083, test acc: 0.880875, test avg acc: 0.823349
Train 140, loss: 1.658900, train acc: 0.867773, train avg acc: 0.815731
Test 140, loss: 1.584269, test acc: 0.880875, test avg acc: 0.831145
Train 141, loss: 1.655660, train acc: 0.868180, train avg acc: 0.811496
Test 141, loss: 1.598541, test acc: 0.875203, test avg acc: 0.828372
Train 142, loss: 1.648793, train acc: 0.871132, train avg acc: 0.822570
Test 142, loss: 1.592691, test acc: 0.874392, test avg acc: 0.833483
Train 143, loss: 1.654192, train acc: 0.870928, train avg acc: 0.818665
Test 143, loss: 1.606507, test acc: 0.871556, test avg acc: 0.825151
Train 144, loss: 1.658003, train acc: 0.871946, train avg acc: 0.820081
Test 144, loss: 1.587843, test acc: 0.881280, test avg acc: 0.830733
Train 145, loss: 1.647594, train acc: 0.877443, train avg acc: 0.826715
Test 145, loss: 1.597885, test acc: 0.862237, test avg acc: 0.824994
Train 146, loss: 1.637087, train acc: 0.882227, train avg acc: 0.829010
Test 146, loss: 1.623024, test acc: 0.862642, test avg acc: 0.811157
Train 147, loss: 1.644347, train acc: 0.872455, train avg acc: 0.817742
Test 147, loss: 1.579470, test acc: 0.879254, test avg acc: 0.824930
Train 148, loss: 1.640138, train acc: 0.876323, train avg acc: 0.823837
Test 148, loss: 1.572999, test acc: 0.886953, test avg acc: 0.854483
Train 149, loss: 1.635112, train acc: 0.879173, train avg acc: 0.828320
Test 149, loss: 1.580645, test acc: 0.878444, test avg acc: 0.819477
Train 150, loss: 1.630379, train acc: 0.883754, train avg acc: 0.837548
Test 150, loss: 1.589520, test acc: 0.874797, test avg acc: 0.844378
Train 151, loss: 1.641616, train acc: 0.876527, train avg acc: 0.821999
Test 151, loss: 1.566897, test acc: 0.888169, test avg acc: 0.844070
Train 152, loss: 1.628927, train acc: 0.879377, train avg acc: 0.828281
Test 152, loss: 1.588240, test acc: 0.873582, test avg acc: 0.837221
Train 153, loss: 1.628304, train acc: 0.882329, train avg acc: 0.834583
Test 153, loss: 1.592862, test acc: 0.871961, test avg acc: 0.841012
Train 154, loss: 1.628590, train acc: 0.877647, train avg acc: 0.823185
Test 154, loss: 1.588359, test acc: 0.865073, test avg acc: 0.833576
Train 155, loss: 1.625964, train acc: 0.883652, train avg acc: 0.834990
Test 155, loss: 1.580371, test acc: 0.876418, test avg acc: 0.842535
Train 156, loss: 1.624520, train acc: 0.883042, train avg acc: 0.831868
Test 156, loss: 1.568826, test acc: 0.884117, test avg acc: 0.834738
Train 157, loss: 1.610471, train acc: 0.886706, train avg acc: 0.837524
Test 157, loss: 1.574636, test acc: 0.880470, test avg acc: 0.829517
