Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='dgcnn_vnn_airplane', k=40, lr=0.001, model='eqcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, pooling='mean', rot='aligned', scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Train 51, loss: 0.818115, train acc: 0.918277, train avg acc: 0.906835, train iou: 0.812939
Test 51, loss: 0.865074, test acc: 0.880070, test avg acc: 0.813970, test iou: 0.760774
Train 52, loss: 0.817721, train acc: 0.918674, train avg acc: 0.907344, train iou: 0.814448
Test 52, loss: 0.848026, test acc: 0.894294, test avg acc: 0.868688, test iou: 0.769684
Train 53, loss: 0.815320, train acc: 0.920803, train avg acc: 0.910426, train iou: 0.817520
Test 53, loss: 0.854771, test acc: 0.886775, test avg acc: 0.849079, test iou: 0.779775
Train 54, loss: 0.811174, train acc: 0.923977, train avg acc: 0.914213, train iou: 0.822325
Test 54, loss: 0.850937, test acc: 0.890211, test avg acc: 0.874608, test iou: 0.773695
Train 55, loss: 0.815775, train acc: 0.920273, train avg acc: 0.909330, train iou: 0.818486
Test 55, loss: 0.898341, test acc: 0.854783, test avg acc: 0.818469, test iou: 0.720603
Train 56, loss: 0.816075, train acc: 0.919499, train avg acc: 0.908680, train iou: 0.815999
Test 56, loss: 0.844987, test acc: 0.895445, test avg acc: 0.876839, test iou: 0.765455
Train 57, loss: 0.810385, train acc: 0.924448, train avg acc: 0.915065, train iou: 0.824938
Test 57, loss: 0.846276, test acc: 0.895907, test avg acc: 0.879824, test iou: 0.785602
Train 58, loss: 0.808334, train acc: 0.926092, train avg acc: 0.916613, train iou: 0.831086
Test 58, loss: 0.847009, test acc: 0.893054, test avg acc: 0.876052, test iou: 0.788667
Train 59, loss: 0.807628, train acc: 0.927078, train avg acc: 0.917991, train iou: 0.830773
Test 59, loss: 0.840043, test acc: 0.899643, test avg acc: 0.873054, test iou: 0.781755
Train 60, loss: 0.807808, train acc: 0.926605, train avg acc: 0.917021, train iou: 0.831505
Test 60, loss: 0.844714, test acc: 0.897185, test avg acc: 0.871173, test iou: 0.795528
Train 61, loss: 0.806169, train acc: 0.928300, train avg acc: 0.918844, train iou: 0.835863
Test 61, loss: 0.839261, test acc: 0.900996, test avg acc: 0.878006, test iou: 0.778029
Train 62, loss: 0.805372, train acc: 0.928686, train avg acc: 0.919639, train iou: 0.835119
Test 62, loss: 0.852204, test acc: 0.890296, test avg acc: 0.877396, test iou: 0.769769
Train 63, loss: 0.804250, train acc: 0.929476, train avg acc: 0.921055, train iou: 0.837732
Test 63, loss: 0.840307, test acc: 0.901420, test avg acc: 0.872137, test iou: 0.795304
Train 64, loss: 0.802839, train acc: 0.930944, train avg acc: 0.922165, train iou: 0.841650
Test 64, loss: 0.834654, test acc: 0.905102, test avg acc: 0.880101, test iou: 0.803189
Train 65, loss: 0.802156, train acc: 0.931435, train avg acc: 0.922927, train iou: 0.843556
Test 65, loss: 0.838347, test acc: 0.900555, test avg acc: 0.878497, test iou: 0.788038
Train 66, loss: 0.801223, train acc: 0.932313, train avg acc: 0.923982, train iou: 0.845258
Test 66, loss: 0.849922, test acc: 0.891209, test avg acc: 0.863090, test iou: 0.778727
Train 67, loss: 0.800355, train acc: 0.932891, train avg acc: 0.924140, train iou: 0.844238
Test 67, loss: 0.837940, test acc: 0.901155, test avg acc: 0.879429, test iou: 0.800454
Train 68, loss: 0.802055, train acc: 0.931608, train avg acc: 0.922905, train iou: 0.842603
Test 68, loss: 0.843265, test acc: 0.897003, test avg acc: 0.853511, test iou: 0.799982
Train 69, loss: 0.802761, train acc: 0.931057, train avg acc: 0.922770, train iou: 0.840845
Test 69, loss: 0.867348, test acc: 0.880053, test avg acc: 0.860317, test iou: 0.765512
Train 70, loss: 0.803673, train acc: 0.930503, train avg acc: 0.921343, train iou: 0.838267
Test 70, loss: 0.837351, test acc: 0.901896, test avg acc: 0.874196, test iou: 0.803655
Train 71, loss: 0.802851, train acc: 0.931030, train avg acc: 0.922242, train iou: 0.839208
Test 71, loss: 0.835964, test acc: 0.903850, test avg acc: 0.880819, test iou: 0.802071
Train 72, loss: 0.800371, train acc: 0.933263, train avg acc: 0.925135, train iou: 0.843653
Test 72, loss: 0.840082, test acc: 0.900731, test avg acc: 0.889922, test iou: 0.778852
Train 73, loss: 0.800020, train acc: 0.933351, train avg acc: 0.924717, train iou: 0.845792
Test 73, loss: 0.838940, test acc: 0.901071, test avg acc: 0.878890, test iou: 0.786013
Train 74, loss: 0.798351, train acc: 0.934668, train avg acc: 0.926258, train iou: 0.847579
Test 74, loss: 0.834951, test acc: 0.904661, test avg acc: 0.882570, test iou: 0.801826
Train 75, loss: 0.798194, train acc: 0.934904, train avg acc: 0.926511, train iou: 0.847991
Test 75, loss: 0.849667, test acc: 0.892250, test avg acc: 0.871157, test iou: 0.795549
Train 76, loss: 0.797587, train acc: 0.935331, train avg acc: 0.927651, train iou: 0.849303
Test 76, loss: 0.839601, test acc: 0.900456, test avg acc: 0.877485, test iou: 0.794140
Train 77, loss: 0.798749, train acc: 0.934363, train avg acc: 0.925846, train iou: 0.848067
Test 77, loss: 0.835464, test acc: 0.904984, test avg acc: 0.878241, test iou: 0.806234
Train 78, loss: 0.799134, train acc: 0.934038, train avg acc: 0.925963, train iou: 0.847163
Test 78, loss: 0.833820, test acc: 0.906115, test avg acc: 0.884387, test iou: 0.796554
Train 79, loss: 0.797601, train acc: 0.935380, train avg acc: 0.927147, train iou: 0.850332
Test 79, loss: 0.835786, test acc: 0.904197, test avg acc: 0.891318, test iou: 0.789698
Train 80, loss: 0.795885, train acc: 0.936958, train avg acc: 0.928789, train iou: 0.852397
Test 80, loss: 0.835463, test acc: 0.905083, test avg acc: 0.880755, test iou: 0.804279
Train 81, loss: 0.794584, train acc: 0.937848, train avg acc: 0.930101, train iou: 0.854555
Test 81, loss: 0.835078, test acc: 0.904794, test avg acc: 0.884340, test iou: 0.794344
Train 82, loss: 0.794162, train acc: 0.938287, train avg acc: 0.930583, train iou: 0.855540
Test 82, loss: 0.831945, test acc: 0.908071, test avg acc: 0.877370, test iou: 0.798212
Train 83, loss: 0.793915, train acc: 0.938397, train avg acc: 0.930775, train iou: 0.856996
Test 83, loss: 0.837874, test acc: 0.902329, test avg acc: 0.887025, test iou: 0.790109
Train 84, loss: 0.795203, train acc: 0.937307, train avg acc: 0.929040, train iou: 0.853048
Test 84, loss: 0.837948, test acc: 0.902325, test avg acc: 0.893116, test iou: 0.789013
Train 85, loss: 0.795582, train acc: 0.936933, train avg acc: 0.929196, train iou: 0.853201
Test 85, loss: 0.844286, test acc: 0.897394, test avg acc: 0.882525, test iou: 0.784838
Train 86, loss: 0.795209, train acc: 0.937332, train avg acc: 0.929478, train iou: 0.854820
Test 86, loss: 0.838015, test acc: 0.902112, test avg acc: 0.876712, test iou: 0.800595
Train 87, loss: 0.792911, train acc: 0.939203, train avg acc: 0.931329, train iou: 0.856588
Test 87, loss: 0.831326, test acc: 0.908346, test avg acc: 0.879542, test iou: 0.811544
Train 88, loss: 0.792785, train acc: 0.939500, train avg acc: 0.931496, train iou: 0.857660
Test 88, loss: 0.837095, test acc: 0.903309, test avg acc: 0.878165, test iou: 0.796570
Train 89, loss: 0.792296, train acc: 0.939739, train avg acc: 0.931594, train iou: 0.859652
